Pickup Supplier,Pickup Location,Supplier ID,Destination,Fee,Notes 1,Notes 2
Alamo,Greece,663442,Croatia,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Cyprus,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Czech Republic,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Denmark,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Estonia,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Finland,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,France,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Greece,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Hungary,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Ireland,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Italy,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Lithuania,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Luxembourg,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Netherlands,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Norway,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Poland,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Portugal,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Romania,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Serbia,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Slovakia,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Slovenia,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Sweden,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Switzerland,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,United Kingdom,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Andorra,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Monaco,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Greece,663442,Gibraltar,100 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Guatemala,371655,El Salvador,50.16 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Guatemala,371655,Honduras,50.16 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Guatemala,371655,Nicaragua,50.16 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Latvia,619838,Estonia,30 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Latvia,619838,Lithuania,30 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Lithuania,620669,Estonia,21.49 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,"Travel within or to these countries is not permitted: Poland, Ukraine, Russian Federation, Belarus."
Alamo,Lithuania,620669,Latvia,21.49 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,"Travel within or to these countries is not permitted: Poland, Ukraine, Russian Federation, Belarus."
Alamo,Nicaragua,20106,Costa Rica,83.59 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Spain,588660,Portugal,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Spain,588660,Andorra,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Spain,588660,Gibraltar,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Spain,588660,Germany,45.45 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Spain,588660,Austria,45.45 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Spain,588660,Belgium,45.45 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Spain,588660,France,45.45 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Spain,588660,Italy,45.45 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Spain,588660,Luxembourg,45.45 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Spain,588660,Netherlands,45.45 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Spain,588660,Switzerland,45.45 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Spain,588660,Monaco,45.45 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Germany,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Austria,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Belgium,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Spain,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Czech Republic,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,France,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Greece,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Hungary,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Italy,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Luxembourg,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Netherlands,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Norway,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Poland,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Portugal,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Slovakia,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Slovenia,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,Switzerland,627570,Sweden,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Alamo,United Kingdom,588663,Ireland,141.82 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Germany,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Austria,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Belgium,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Bulgaria,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Croatia,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Czech Republic,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Denmark,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Finland,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,France,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Greece,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Hungary,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Italy,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Netherlands,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Norway,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Poland,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Portugal,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Romania,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Slovenia,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Sweden,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Switzerland,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,United Kingdom,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Andorra,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Canary Islands,707815,Monaco,26.43 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Germany,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Austria,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Belgium,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Bulgaria,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Spain,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Croatia,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Czech Republic,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Denmark,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Finland,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,France,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Greece,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Hungary,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Italy,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Netherlands,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Norway,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Portugal,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Romania,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Slovenia,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Sweden,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Switzerland,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,United Kingdom,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Andorra,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autoclick Rent A Car,Poland,700611,Monaco,24.39 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Autorent,Armenia,675011,Georgia ,25.08 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,Germany,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,Belgium,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,Spain,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,Denmark,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,Finland,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,Ireland,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,Luxembourg,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,Netherlands,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,Norway,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,Poland,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,Portugal,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,Sweden,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,Switzerland,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,United Kingdom,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,Monaco,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Austria,,Liechtenstein,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Cyprus,629998,Egypt,Charges apply - please enquire at pickup,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Cyprus,629998,Greece,Charges apply - please enquire at pickup,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Cyprus,629998,Israel,Charges apply - please enquire at pickup,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Cyprus,629998,Turkey,Charges apply - please enquire at pickup,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,USA,517292,Canada,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,USA,517292,Mexico,25.91 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Finland,2819,Denmark,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Finland,2819,Norway,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Finland,2819,Sweden,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Romania,315966,Germany,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Romania,315966,Austria,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Romania,315966,Belgium,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Romania,315966,Bulgaria,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Romania,315966,Croatia,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Romania,315966,Czech Republic,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Romania,315966,France,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Romania,315966,Greece,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Romania,315966,Hungary,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Romania,315966,Italy,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Romania,315966,Luxembourg,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Romania,315966,Netherlands,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Romania,315966,Poland,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Romania,315966,Slovakia,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Romania,315966,Slovenia,Free of charge,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,South Africa,2300,Namibia ,105.08 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,South Africa,2300,Swaziland ,32.84 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,South Africa,2300,Lesotho ,32.84 EUR,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,South Africa,2300,Botswana ,105.08 EUR ,You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ,
Avis,Switzerland,41244,Germany,Free of charge,"Travel within the following countries is not permitted: Albania, Armenia, Bosnia and Herzegovina, Bulgaria, Croatia, Macedonia, Montenegro, Romania, Serbia, Turkey.

You must ensure that you get authorisation for cross border travel from the local car rental company when you pick up your vehicle. ",
